sex,age,name
1,13,2
1,14,68
1,15,127
1,16,183
1,17,189
1,18,250
1,19,264
1,20,293
1,21,239
1,22,258
1,23,127
1,24,134
1,25,104
1,26,117
1,27,129
1,28,134
1,29,134
1,30,151
1,31,150
1,32,169
1,33,144
1,34,147
1,35,157
1,36,121
1,37,97
1,38,79
1,39,63
1,40,47
1,41,49
1,42,56
1,43,51
1,44,55
1,45,38
1,46,37
1,47,32
1,48,39
1,49,40
1,50,25
1,51,40
1,52,29
1,53,33
1,54,18
1,55,22
1,56,13
1,57,20
1,58,18
1,59,21
1,60,20
1,61,23
1,62,22
1,63,19
1,64,21
1,65,23
1,66,20
1,67,24
1,68,23
1,69,19
1,70,18
1,71,27
1,72,18
1,73,16
1,74,12
1,75,7
1,76,4
1,77,8
1,78,2
1,79,3
1,80,1
1,81,1
1,82,1
1,83,3
1,84,1
1,85,1
1,92,4
1,94,2
1,99,1
1,102,4
1,103,2
1,104,1
1,105,2
1,106,1
1,107,1
1,108,1
1,109,2
1,111,1
1,113,2
1,115,2
1,116,2
1,117,2
1,118,6
1,119,3
1,120,5
1,121,10
1,122,7
2,14,32
2,15,117
2,16,141
2,17,148
2,18,261
2,19,274
2,20,256
2,21,258
2,22,363
2,23,220
2,24,155
2,25,108
2,26,127
2,27,126
2,28,102
2,29,90
2,30,91
2,31,130
2,32,121
2,33,129
2,34,129
2,35,126
2,36,122
2,37,104
2,38,80
2,39,79
2,40,67
2,41,67
2,42,53
2,43,49
2,44,46
2,45,45
2,46,54
2,47,43
2,48,36
2,49,24
2,50,35
2,51,25
2,52,31
2,53,20
2,54,29
2,55,25
2,56,9
2,57,14
2,58,14
2,59,14
2,60,10
2,61,11
2,62,26
2,63,19
2,64,10
2,65,8
2,66,11
2,67,7
2,68,13
2,69,13
2,70,7
2,71,8
2,72,10
2,73,6
2,74,6
2,75,6
2,76,5
2,77,1
2,78,2
2,79,2
2,80,3
2,81,2
2,82,1
2,83,5
2,84,2
2,86,3
2,87,1
2,92,2
2,94,1
2,99,1
2,100,1
2,101,3
2,102,3
2,103,1
2,104,1
2,105,8
2,109,1
2,110,2
2,111,3
2,112,3
2,113,1
2,114,2
2,115,1
2,116,2
2,117,9
2,118,6
2,119,4
2,120,20
2,121,24
2,122,3
